"slug","title","date","content_flag","action"
"separador-magnetico-para-relaves-mineros","Separador magnetico para relaves mineros","2026-08-06","internal_fields_present_in_source","manual review"
"separacion-magnetica-mineria-cobre-chile-peru","Separacion magnetica en mineria de cobre","2026-08-03","internal_fields_present_in_source","manual review"
"separador-magnetico-tambor-humedo-mineral-hierro","Separador magnetico de tambor humedo para hierro","2026-07-06","internal_fields_present_in_source","manual review"
"separador-magnetico-overband-cintas-mineria","Separador magnetico overband para cintas en mineria","2026-06-27","clean","manual review"
"como-seleccionar-separador-magnetico-para-cinta","Como seleccionar un separador magnetico para cinta transportadora","2026-06-09","clean","manual review"
"proteccion-de-chancadores-contra-hierro-trampa","Proteccion de chancadores contra hierro trampa","2026-06-09","clean","manual review"
