url_actual,url_destino,tipo,estado
/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,/es-cl/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separation,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator,/es-cl/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank,/es-cl/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine,/es-cl/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine,/es-cl/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation,/es-cl/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover,/es-cl/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator,/es-cl/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine,/es-cl/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing,/es-cl/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator,/es-cl/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator,/es-cl/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/dls-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/dls-type-window-metal-detector,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/gjt-type-window-metal-detector,/es-cl/products/metal-detection-recycling-sorting/gjt-type-window-metal-detector,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/hecp-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecp-eddy-current-metal-sorting-machine,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine,/es-cl/products/metal-detection-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/drum-magnet,/es-cl/products/metal-detection-recycling-sorting/drum-magnet,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/eccentric-eddy-current-separator,/es-cl/products/metal-detection-recycling-sorting/eccentric-eddy-current-separator,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/electromagnet-separator,/es-cl/products/metal-detection-recycling-sorting/electromagnet-separator,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/magnetic-head-pulley,/es-cl/products/metal-detection-recycling-sorting/magnetic-head-pulley,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/permanent-overband-magnetic-separator,/es-cl/products/metal-detection-recycling-sorting/permanent-overband-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/metal-detection-recycling-sorting/stainless-steel-separation-conveyor,/es-cl/products/metal-detection-recycling-sorting/stainless-steel-separation-conveyor,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/cbs-drawer-type-magnetic-filter,/es-cl/products/magnetic-components-filters/cbs-drawer-type-magnetic-filter,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/clc-type-wet-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-wet-slot-magnetic-filter,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/ctq-type-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/ctq-type-roller-automatic-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/cyg-wet-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/cyg-wet-pipeline-magnetic-filter,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/rcyz-type-pipeline-magnetic-filter,/es-cl/products/magnetic-components-filters/rcyz-type-pipeline-magnetic-filter,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/clc-type-slot-magnetic-filter,/es-cl/products/magnetic-components-filters/clc-type-slot-magnetic-filter,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/dhd-type-roller-type-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhd-type-roller-type-automatic-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/dhj-type-strong-roller-automatic-magnetic-separator,/es-cl/products/magnetic-components-filters/dhj-type-strong-roller-automatic-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/qcg-wet-roller-magnetic-separator,/es-cl/products/magnetic-components-filters/qcg-wet-roller-magnetic-separator,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/drawer-magnet,/es-cl/products/magnetic-components-filters/drawer-magnet,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/hump-magnet,/es-cl/products/magnetic-components-filters/hump-magnet,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/magnetic-grid,/es-cl/products/magnetic-components-filters/magnetic-grid,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/magnetic-rod,/es-cl/products/magnetic-components-filters/magnetic-rod,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/magnetic-trap,/es-cl/products/magnetic-components-filters/magnetic-trap,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/rotary-pipe-magnet,/es-cl/products/magnetic-components-filters/rotary-pipe-magnet,sin_cambio,URL vigente conservada
/es-cl/products/magnetic-components-filters/permanent-filter-bar-magnetic-neodymium-rod,/es-cl/products/magnetic-components-filters/permanent-filter-bar-magnetic-neodymium-rod,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/high-frequency-screen,/es-cl/products/industry-application-equipment/high-frequency-screen,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box,/es-cl/products/industry-application-equipment/kgla-series-rectifier-control-box,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,/es-cl/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,/es-cl/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,/es-cl/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,/es-cl/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover,sin_cambio,URL vigente conservada
/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet,/es-cl/products/industry-application-equipment/round-electromagnetic-lifting-magnet,sin_cambio,URL vigente conservada
